146位のチームA pt	2,232,449 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:31 集計時点BY SKDN
96位のチームA pt	2,303,194 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,878,767 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:30 集計時点
96位のチームA pt	2,303,194 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,878,767 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:31 集計時点
96位のチームA pt	2,303,194 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,878,767 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:32 集計時点
96位のチームA pt	2,303,194 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,884,581 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:32 集計時点BY SKDN
96位のチームA pt	2,303,194 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,884,581 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:33 集計時点BY SKDN
96位のチームA pt	2,303,194 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,884,581 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:32 集計時点
96位のチームA pt	2,303,194 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,884,581 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:33 集計時点
96位のチームA pt	2,303,194 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,885,862 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:35 集計時点BY SKDN
96位のチームA pt	2,303,194 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,885,862 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:34 集計時点
96位のチームA pt	2,303,194 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,885,862 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:35 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,885,862 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:35 集計時点BY SKDN
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,885,862 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:35 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,885,862 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:36 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:36 集計時点BY SKDN
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:36 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,360 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:37 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:37 集計時点BY SKDN
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:38 集計時点BY SKDN
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:37 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,959,989 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:38 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,963,833 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:39 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,964,079 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:40 集計時点BY SKDN
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,964,079 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:40 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,964,080 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:40 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,964,180 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:40 集計時点BY SKDN
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,964,180 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:40 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,964,181 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:41 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,964,182 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:41 集計時点BY SKDN
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,964,182 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:41 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,964,283 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:42 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,967,195 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:42 集計時点BY SKDN
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,967,195 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:42 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,970,182 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:43 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,974,698 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:43 集計時点BY SKDN
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,974,698 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:43 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:45 集計時点BY SKDN
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:44 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,398,175 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:45 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,401,332 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:46 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,401,333 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:46 集計時点BY SKDN
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,401,333 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:46 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,401,929 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:47 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,405,632 pt
96位のチームJ pt	3,140,273 pt
※10/29(土) 12:47 集計時点BY SKDN
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,405,632 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:47 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,405,732 pt
96位のチームJ pt	3,140,273 pt
※10/29(土)12:48 集計時点
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,405,733 pt
96位のチームJ pt	3,145,758 pt
※10/29(土) 12:48 集計時点BY SKDN
96位のチームA pt	2,305,100 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,405,733 pt
96位のチームJ pt	3,145,758 pt
※10/29(土)12:48 集計時点
96位のチームA pt	2,310,853 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,405,834 pt
96位のチームJ pt	3,145,759 pt
※10/29(土)12:49 集計時点
96位のチームA pt	2,311,519 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,405,835 pt
96位のチームJ pt	3,145,860 pt
※10/29(土) 12:50 集計時点BY SKDN
96位のチームA pt	2,311,519 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,405,835 pt
96位のチームJ pt	3,145,860 pt
※10/29(土)12:50 集計時点
96位のチームA pt	2,313,259 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,405,836 pt
96位のチームJ pt	3,145,861 pt
※10/29(土)12:50 集計時点
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,405,937 pt
96位のチームJ pt	3,148,303 pt
※10/29(土) 12:50 集計時点BY SKDN
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,405,937 pt
96位のチームJ pt	3,148,303 pt
※10/29(土)12:50 集計時点
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,757,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,406,636 pt
96位のチームJ pt	3,148,404 pt
※10/29(土)12:51 集計時点
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,761,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,406,636 pt
96位のチームJ pt	3,148,505 pt
※10/29(土) 12:51 集計時点BY SKDN
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,761,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,406,636 pt
96位のチームJ pt	3,148,505 pt
※10/29(土)12:51 集計時点
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,761,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,406,636 pt
96位のチームJ pt	3,148,507 pt
※10/29(土) 12:52 集計時点BY SKDN
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,761,721 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,406,636 pt
96位のチームJ pt	3,148,507 pt
※10/29(土)12:52 集計時点
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,765,007 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,407,678 pt
96位のチームJ pt	3,153,186 pt
※10/29(土)12:53 集計時点
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,765,007 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,411,008 pt
96位のチームJ pt	3,153,188 pt
※10/29(土) 12:53 集計時点BY SKDN
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,765,007 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,411,008 pt
96位のチームJ pt	3,153,188 pt
※10/29(土)12:53 集計時点
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,765,007 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,411,008 pt
96位のチームJ pt	3,153,288 pt
※10/29(土) 12:55 集計時点BY SKDN
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,765,007 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,411,008 pt
96位のチームJ pt	3,153,288 pt
※10/29(土)12:54 集計時点
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,765,007 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,411,008 pt
96位のチームJ pt	3,153,288 pt
※10/29(土)12:55 集計時点
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,765,007 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,411,008 pt
96位のチームJ pt	3,155,645 pt
※10/29(土)12:55 集計時点
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,765,007 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,411,008 pt
96位のチームJ pt	3,155,746 pt
※10/29(土) 12:55 集計時点BY SKDN
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,765,007 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,411,008 pt
96位のチームJ pt	3,155,746 pt
※10/29(土)12:55 集計時点
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,765,007 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,411,008 pt
96位のチームJ pt	3,155,848 pt
※10/29(土)12:56 集計時点
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,765,007 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,411,008 pt
96位のチームJ pt	3,155,849 pt
※10/29(土) 12:56 集計時点BY SKDN
96位のチームA pt	2,314,280 pt
96位のチームB pt	3,974,923 pt
96位のチームC pt	2,576,542 pt
96位のチームD pt	2,765,007 pt
96位のチームE pt	3,083,200 pt
96位のチームF pt	4,677,402 pt
96位のチームG pt	2,259,941 pt
96位のチームH pt	2,891,483 pt
96位のチームI pt	3,411,008 pt
